fgid,directional-statement,fgcat_id
vf,Eat at least one dark green and one orange vegetable each day.,0
vf,"Choose vegetables and fruit prepared with little or no added fat, sugar or salt.",1
vf,Have vegetables and fruit more often than juice.,2
gr,Make at least half of your grain products whole grain each day.,4
gr,"Choose grain products that are lower in fat, sugar or salt.",3
mi,"Drink skim, 1%, or 2% milk each day.",5
mi,Select lower fat milk alternatives.,6
me,"Have meat alternatives such as beans, lentils and tofu often.",7
me,Eat at least two Food Guide Servings of fish each week.,8
me,Select lean meat and alternatives prepared with little or no added fat or salt.,9
